car_pos,target_pos,car_target_distance,car_quaternion,lidar_data,relative_coordinates,action
"[34.91, -0.19, 0.09]","[32.24, -1.89, 0.14]",3.165,"[0.0, -1.0]","[2.004, 0.924, 0.463, 0.289, 0.289, 0.444, 1.39, 1.975]","[-2.6699999999999946, -36.8]",0
"[34.85, -0.19, 0.02]","[32.24, -1.89, 0.14]",3.115,"[0.0, -1.0]","[1.942, 1.638, 0.552, 0.349, 0.349, 0.528, 1.103, 1.243]","[-2.6099999999999994, -36.74]",0
"[34.74, -0.19, 0.02]","[32.24, -1.89, 0.14]",3.023,"[0.0, -1.0]","[1.841, 1.638, 0.704, 0.454, 0.454, 0.674, 1.039, 1.243]","[-2.5, -36.63]",0
"[34.65, -0.19, 0.02]","[32.24, -1.89, 0.14]",2.949,"[0.001, -1.0]","[1.746, 1.639, 0.84, 0.548, 0.548, 0.805, 0.993, 1.242]","[-2.4099999999999966, -36.54]",1
"[34.6, -0.19, 0.02]","[32.24, -1.89, 0.14]",2.909,"[-0.052, -0.999]","[1.693, 1.633, 0.821, 0.601, 0.604, 0.998, 0.976, 1.411]","[-2.3599999999999994, -36.49]",1
"[34.61, -0.18, 0.02]","[32.24, -1.89, 0.14]",2.922,"[-0.193, -0.981]","[1.861, 0.936, 0.654, 0.588, 0.64, 1.244, 0.993, 1.704]","[-2.3699999999999974, -36.5]",1
"[34.61, -0.17, 0.02]","[32.24, -1.89, 0.14]",2.928,"[-0.334, -0.943]","[2.205, 0.931, 0.579, 0.574, 0.761, 0.997, 1.153, 1.718]","[-2.3699999999999974, -36.5]",0
"[34.56, -0.21, 0.02]","[32.24, -1.89, 0.14]",2.864,"[-0.381, -0.925]","[2.145, 0.894, 0.615, 0.614, 0.897, 1.029, 1.334, 1.674]","[-2.3200000000000003, -36.45]",2
"[34.53, -0.24, 0.02]","[32.24, -1.89, 0.14]",2.823,"[-0.322, -0.947]","[2.109, 0.881, 0.661, 0.652, 0.842, 1.039, 1.221, 1.636]","[-2.289999999999999, -36.42]",0
"[34.48, -0.28, 0.02]","[32.24, -1.89, 0.14]",2.759,"[-0.285, -0.958]","[2.066, 0.868, 0.73, 0.708, 0.86, 1.05, 1.193, 1.577]","[-2.239999999999995, -36.37]",0
"[34.4, -0.33, 0.02]","[32.24, -1.89, 0.14]",2.664,"[-0.285, -0.958]","[2.011, 0.854, 0.815, 0.791, 0.958, 1.078, 1.257, 1.494]","[-2.1599999999999966, -36.29]",0
"[34.32, -0.38, 0.02]","[32.24, -1.89, 0.14]",2.57,"[-0.285, -0.959]","[2.049, 0.874, 0.848, 0.869, 1.05, 1.112, 1.315, 1.416]","[-2.0799999999999983, -36.21]",0
"[34.24, -0.44, 0.02]","[32.24, -1.89, 0.14]",2.47,"[-0.285, -0.959]","[1.966, 1.02, 0.852, 0.947, 1.142, 1.153, 1.376, 1.34]","[-2.0, -36.13]",0
"[34.16, -0.49, 0.02]","[32.24, -1.89, 0.14]",2.376,"[-0.284, -0.959]","[1.889, 1.372, 0.869, 1.03, 1.24, 1.201, 1.438, 1.259]","[-1.9199999999999946, -36.05]",0
