car_pos,target_pos,car_target_distance,car_quaternion,lidar_data,relative_coordinates,action
"[34.08, -0.54, 0.02]","[32.24, -1.89, 0.14]",2.282,"[-0.285, -0.959]","[1.824, 1.346, 0.887, 1.107, 1.332, 1.251, 1.499, 1.183]","[-1.8399999999999963, -35.97]",0
"[34.0, -0.59, 0.02]","[32.24, -1.89, 0.14]",2.188,"[-0.285, -0.959]","[1.747, 1.331, 0.92, 1.189, 1.43, 1.305, 1.563, 1.103]","[-1.759999999999998, -35.89]",0
"[33.92, -0.65, 0.02]","[32.24, -1.89, 0.14]",2.088,"[-0.284, -0.959]","[1.792, 1.319, 0.962, 1.272, 1.527, 1.359, 1.047, 1.022]","[-1.6799999999999997, -35.81]",0
"[33.83, -0.7, 0.02]","[32.24, -1.89, 0.14]",1.986,"[-0.284, -0.959]","[1.699, 1.328, 1.013, 1.355, 1.626, 1.413, 0.964, 0.941]","[-1.5899999999999963, -35.72]",0
"[33.75, -0.75, 0.02]","[32.24, -1.89, 0.14]",1.892,"[-0.284, -0.959]","[1.598, 1.488, 1.062, 1.438, 1.722, 1.466, 0.881, 0.86]","[-1.509999999999998, -35.64]",0
"[33.67, -0.81, 0.02]","[32.24, -1.89, 0.14]",1.792,"[-0.284, -0.959]","[1.501, 1.475, 1.122, 1.516, 1.564, 1.517, 0.803, 0.783]","[-1.4299999999999997, -35.56]",0
"[33.59, -0.86, 0.02]","[32.24, -1.89, 0.14]",1.698,"[-0.284, -0.959]","[1.404, 1.422, 1.184, 1.392, 1.616, 1.567, 0.726, 0.708]","[-1.3500000000000014, -35.480000000000004]",0
"[33.51, -0.91, 0.02]","[32.24, -1.89, 0.14]",1.604,"[-0.283, -0.959]","[1.309, 1.362, 1.264, 1.253, 1.675, 1.625, 0.637, 0.621]","[-1.269999999999996, -35.4]",0
"[33.41, -0.97, 0.02]","[32.24, -1.89, 0.14]",1.488,"[-0.283, -0.959]","[1.192, 1.305, 1.36, 1.335, 1.737, 1.685, 0.543, 0.529]","[-1.1699999999999946, -35.3]",1
"[33.38, -1.0, 0.02]","[32.24, -1.89, 0.14]",1.446,"[-0.343, -0.939]","[1.202, 1.278, 1.356, 1.8, 1.728, 1.716, 0.508, 0.506]","[-1.1400000000000006, -35.27]",0
"[33.34, -1.04, 0.02]","[32.24, -1.89, 0.14]",1.39,"[-0.383, -0.924]","[3.621, 1.234, 1.392, 1.841, 1.764, 0.699, 0.466, 0.466]","[-1.1000000000000014, -35.230000000000004]",1
"[33.31, -1.06, 0.02]","[32.24, -1.89, 0.14]",1.354,"[-0.432, -0.902]","[3.59, 1.21, 1.408, 1.878, 1.792, 0.592, 0.441, 1.051]","[-1.0700000000000003, -35.2]",0
"[33.27, -1.12, 0.02]","[32.24, -1.89, 0.14]",1.286,"[-0.494, -0.87]","[1.161, 1.294, 1.401, 1.953, 1.85, 0.5, 0.418, 1.002]","[-1.0300000000000011, -35.160000000000004]",0
"[33.22, -1.2, 0.02]","[32.24, -1.89, 0.14]",1.199,"[-0.493, -0.87]","[1.094, 1.085, 1.408, 2.005, 1.936, 0.445, 0.387, 0.905]","[-0.9799999999999969, -35.11]",0
"[33.17, -1.28, 0.02]","[32.24, -1.89, 0.14]",1.112,"[-0.493, -0.87]","[1.761, 1.022, 1.411, 2.054, 2.015, 0.393, 0.374, 0.828]","[-0.9299999999999997, -35.06]",0
"[33.12, -1.37, 0.02]","[32.24, -1.89, 0.14]",1.022,"[-0.493, -0.87]","[1.688, 0.958, 1.43, 2.106, 2.1, 0.382, 1.922, 0.741]","[-0.8799999999999955, -35.01]",0
"[33.07, -1.45, 0.02]","[32.24, -1.89, 0.14]",0.939,"[-0.493, -0.87]","[3.171, 0.9, 1.453, 2.159, 2.185, 0.406, 1.915, 0.657]","[-0.8299999999999983, -34.96]",0
