car_pos,target_pos,car_target_distance,car_quaternion,lidar_data,relative_coordinates,action
"[34.65, -0.19, 0.09]","[32.24, -1.89, 0.14]",2.949,"[0.0, -1.0]","[3.247, 1.638, 0.841, 0.55, 0.55, 0.809, 1.39, 1.975]","[-2.4099999999999966, -36.54]",1
"[34.66, -0.19, 0.02]","[32.24, -1.89, 0.14]",2.957,"[-0.072, -0.997]","[0.758, 1.63, 0.707, 0.535, 0.541, 0.946, 1.006, 0.749]","[-2.4199999999999946, -36.55]",1
"[34.68, -0.18, 0.02]","[32.24, -1.89, 0.14]",2.98,"[-0.179, -0.984]","[0.832, 0.929, 0.579, 0.511, 0.551, 1.343, 1.022, 0.773]","[-2.4399999999999977, -36.57]",1
"[34.7, -0.16, 0.02]","[32.24, -1.89, 0.14]",3.007,"[-0.27, -0.963]","[2.242, 0.929, 0.508, 0.487, 0.583, 1.059, 1.026, 0.797]","[-2.460000000000001, -36.59]",0
"[34.66, -0.19, 0.02]","[32.24, -1.89, 0.14]",2.957,"[-0.295, -0.955]","[2.203, 0.901, 0.542, 0.528, 0.656, 1.043, 1.104, 0.756]","[-2.4199999999999946, -36.55]",0
"[34.58, -0.24, 0.02]","[32.24, -1.89, 0.14]",2.863,"[-0.295, -0.956]","[2.127, 0.867, 0.62, 0.604, 0.746, 1.051, 0.699, 0.68]","[-2.3399999999999963, -36.47]",0
"[34.5, -0.3, 0.02]","[32.24, -1.89, 0.14]",2.763,"[-0.295, -0.956]","[2.045, 0.837, 0.709, 0.691, 0.852, 1.076, 0.61, 0.593]","[-2.259999999999998, -36.39]",0
"[34.39, -0.37, 0.02]","[32.24, -1.89, 0.14]",2.633,"[-0.295, -0.956]","[1.954, 0.819, 0.815, 0.795, 0.976, 1.114, 0.503, 0.489]","[-2.1499999999999986, -36.28]",1
"[34.35, -0.39, 0.02]","[32.24, -1.89, 0.14]",2.589,"[-0.343, -0.939]","[1.919, 0.816, 0.835, 0.829, 1.107, 1.136, 0.458, 0.454]","[-2.1099999999999994, -36.24]",1
"[34.35, -0.38, 0.02]","[32.24, -1.89, 0.14]",2.595,"[-0.481, -0.876]","[1.411, 0.805, 0.813, 0.834, 1.191, 1.135, 0.47, 0.482]","[-2.1099999999999994, -36.24]",1
"[34.36, -0.36, 0.02]","[32.24, -1.89, 0.14]",2.614,"[-0.559, -0.829]","[1.422, 0.812, 0.796, 0.87, 1.124, 0.542, 0.488, 2.343]","[-2.1199999999999974, -36.25]",0
"[34.34, -0.41, 0.02]","[32.24, -1.89, 0.14]",2.569,"[-0.581, -0.814]","[1.376, 0.776, 0.81, 0.91, 1.171, 0.513, 0.474, 2.029]","[-2.1000000000000014, -36.230000000000004]",0
"[34.31, -0.51, 0.02]","[32.24, -1.89, 0.14]",2.488,"[-0.581, -0.814]","[1.277, 0.708, 0.846, 0.95, 1.27, 0.475, 0.438, 1.907]","[-2.0700000000000003, -36.2]",0
"[34.27, -0.61, 0.02]","[32.24, -1.89, 0.14]",2.4,"[-0.581, -0.814]","[1.185, 0.657, 0.88, 0.988, 1.363, 0.438, 0.416, 1.802]","[-2.030000000000001, -36.160000000000004]",0
"[34.24, -0.7, 0.02]","[32.24, -1.89, 0.14]",2.327,"[-0.581, -0.814]","[1.105, 0.615, 0.91, 1.021, 1.448, 0.413, 0.484, 1.709]","[-2.0, -36.13]",0
"[34.2, -0.81, 0.02]","[32.24, -1.89, 0.14]",2.238,"[-0.58, -0.814]","[1.011, 0.587, 0.949, 1.063, 1.556, 0.435, 0.814, 1.597]","[-1.9600000000000009, -36.09]",0
"[34.18, -0.89, 0.02]","[32.24, -1.89, 0.14]",2.183,"[-0.58, -0.814]","[0.947, 0.574, 0.693, 1.092, 1.629, 0.465, 1.971, 1.511]","[-1.9399999999999977, -36.07]",0
"[34.14, -0.99, 0.02]","[32.24, -1.89, 0.14]",2.102,"[-0.58, -0.815]","[0.876, 0.6, 0.577, 1.133, 0.803, 0.517, 1.837, 1.4]","[-1.8999999999999986, -36.03]",2
"[34.12, -1.05, 0.02]","[32.24, -1.89, 0.14]",2.059,"[-0.544, -0.839]","[1.175, 0.65, 0.587, 1.11, 0.962, 0.549, 2.461, 1.799]","[-1.8799999999999955, -36.01]",2
"[34.13, -1.06, 0.02]","[32.24, -1.89, 0.14]",2.064,"[-0.422, -0.906]","[1.216, 0.829, 0.6, 1.052, 1.667, 0.546, 0.737, 1.785]","[-1.8900000000000006, -36.02]",2
"[34.13, -1.07, 0.02]","[32.24, -1.89, 0.14]",2.06,"[-0.297, -0.955]","[1.335, 0.84, 0.618, 0.611, 1.297, 0.536, 0.551, 1.775]","[-1.8900000000000006, -36.02]",2
"[34.13, -1.08, 0.02]","[32.24, -1.89, 0.14]",2.056,"[-0.15, -0.989]","[1.77, 1.226, 0.852, 0.619, 1.115, 1.773, 0.523, 2.424]","[-1.8900000000000006, -36.02]",1
"[34.13, -1.08, 0.02]","[32.24, -1.89, 0.14]",2.056,"[-0.183, -0.983]","[1.771, 1.223, 0.681, 0.616, 1.141, 0.87, 0.525, 2.428]","[-1.8900000000000006, -36.02]",0
"[34.06, -1.11, 0.02]","[32.24, -1.89, 0.14]",1.98,"[-0.227, -0.974]","[1.28, 1.146, 0.724, 0.678, 1.265, 0.529, 0.534, 1.699]","[-1.8200000000000003, -35.95]",0
"[33.97, -1.16, 0.02]","[32.24, -1.89, 0.14]",1.878,"[-0.227, -0.974]","[1.206, 1.124, 0.868, 0.769, 1.37, 0.54, 0.587, 1.585]","[-1.7299999999999969, -35.86]",0
"[33.88, -1.2, 0.02]","[32.24, -1.89, 0.14]",1.779,"[-0.227, -0.974]","[1.558, 1.086, 0.897, 0.851, 1.462, 0.566, 0.631, 1.496]","[-1.6400000000000006, -35.77]",0
"[33.8, -1.24, 0.02]","[32.24, -1.89, 0.14]",1.69,"[-0.227, -0.974]","[1.46, 1.052, 0.935, 0.939, 1.56, 0.604, 0.68, 1.402]","[-1.5599999999999952, -35.69]",0
"[33.71, -1.28, 0.02]","[32.24, -1.89, 0.14]",1.592,"[-0.227, -0.974]","[1.361, 1.01, 0.977, 1.028, 1.658, 0.648, 0.728, 1.297]","[-1.4699999999999989, -35.6]",0
"[33.62, -1.33, 0.02]","[32.24, -1.89, 0.14]",1.489,"[-0.226, -0.974]","[1.26, 0.96, 1.031, 1.118, 1.756, 0.692, 2.092, 1.2]","[-1.3799999999999955, -35.51]",0
"[33.53, -1.37, 0.02]","[32.24, -1.89, 0.14]",1.391,"[-0.226, -0.974]","[1.161, 0.91, 1.089, 1.207, 1.855, 0.736, 2.061, 1.102]","[-1.2899999999999991, -35.42]",0
"[33.45, -1.41, 0.02]","[32.24, -1.89, 0.14]",1.302,"[-0.225, -0.974]","[1.067, 0.874, 0.989, 1.291, 0.836, 0.776, 2.018, 1.009]","[-1.2100000000000009, -35.34]",0
"[33.36, -1.46, 0.02]","[32.24, -1.89, 0.14]",1.2,"[-0.225, -0.974]","[0.967, 0.841, 0.994, 1.234, 0.883, 0.82, 1.967, 0.908]","[-1.1199999999999974, -35.25]",2
"[33.31, -1.48, 0.02]","[32.24, -1.89, 0.14]",1.146,"[-0.177, -0.984]","[0.872, 0.835, 1.007, 1.254, 0.947, 0.839, 1.955, 0.86]","[-1.0700000000000003, -35.2]",0
"[33.24, -1.5, 0.02]","[32.24, -1.89, 0.14]",1.073,"[-0.158, -0.987]","[0.786, 0.844, 0.833, 1.314, 0.991, 0.862, 1.915, 0.868]","[-1.0, -35.13]",0
"[33.15, -1.54, 0.02]","[32.24, -1.89, 0.14]",0.975,"[-0.159, -0.987]","[0.687, 1.56, 0.838, 1.397, 1.025, 0.904, 1.867, 0.753]","[-0.9099999999999966, -35.04]",0
