car_pos,target_pos,car_target_distance,car_quaternion,lidar_data,relative_coordinates,action
"[34.65, -0.19, 0.09]","[32.24, -1.89, 0.14]",2.949,"[0.0, -1.0]","[3.247, 1.638, 0.841, 0.55, 0.55, 0.809, 1.39, 1.975]","[-2.4099999999999966, -36.54]",1
"[34.66, -0.19, 0.02]","[32.24, -1.89, 0.14]",2.957,"[-0.05, -0.999]","[0.751, 1.634, 0.74, 0.537, 0.54, 0.892, 1.006, 0.747]","[-2.4199999999999946, -36.55]",1
"[34.68, -0.18, 0.02]","[32.24, -1.89, 0.14]",2.98,"[-0.154, -0.988]","[0.815, 0.928, 0.597, 0.511, 0.54, 1.205, 1.024, 0.772]","[-2.4399999999999977, -36.57]",1
"[34.7, -0.17, 0.02]","[32.24, -1.89, 0.14]",3.002,"[-0.259, -0.966]","[2.708, 0.921, 0.519, 0.494, 0.583, 1.092, 1.031, 0.789]","[-2.460000000000001, -36.59]",0
"[34.65, -0.2, 0.02]","[32.24, -1.89, 0.14]",2.944,"[-0.299, -0.954]","[2.196, 0.897, 0.545, 0.532, 0.665, 1.043, 1.117, 0.752]","[-2.4099999999999966, -36.54]",0
"[34.57, -0.26, 0.02]","[32.24, -1.89, 0.14]",2.844,"[-0.299, -0.954]","[2.108, 0.86, 0.634, 0.619, 0.769, 1.061, 0.682, 0.665]","[-2.3299999999999983, -36.46]",0
"[34.49, -0.31, 0.02]","[32.24, -1.89, 0.14]",2.749,"[-0.298, -0.954]","[2.034, 0.835, 0.717, 0.7, 0.868, 1.083, 0.599, 0.583]","[-2.25, -36.38]",0
"[34.4, -0.37, 0.02]","[32.24, -1.89, 0.14]",2.641,"[-0.298, -0.955]","[1.966, 0.818, 0.801, 0.782, 0.965, 1.117, 0.516, 0.502]","[-2.1599999999999966, -36.29]",0
"[34.32, -0.43, 0.02]","[32.24, -1.89, 0.14]",2.541,"[-0.297, -0.955]","[2.008, 0.833, 0.809, 0.869, 1.07, 1.157, 0.427, 0.415]","[-2.0799999999999983, -36.21]",1
"[34.28, -0.45, 0.02]","[32.24, -1.89, 0.14]",2.497,"[-0.36, -0.933]","[1.85, 0.803, 0.867, 0.899, 1.238, 1.181, 0.386, 0.385]","[-2.039999999999999, -36.17]",1
"[34.29, -0.43, 0.02]","[32.24, -1.89, 0.14]",2.517,"[-0.49, -0.872]","[1.374, 0.797, 0.876, 0.903, 1.175, 0.505, 0.407, 2.236]","[-2.049999999999997, -36.18]",0
"[34.26, -0.47, 0.02]","[32.24, -1.89, 0.14]",2.469,"[-0.52, -0.854]","[1.329, 0.771, 0.898, 0.945, 1.218, 0.456, 0.386, 2.181]","[-2.019999999999996, -36.15]",0
"[34.21, -0.57, 0.02]","[32.24, -1.89, 0.14]",2.371,"[-0.52, -0.854]","[1.244, 0.733, 0.95, 1.0, 1.313, 0.396, 0.339, 2.094]","[-1.9699999999999989, -36.1]",0
"[34.17, -0.66, 0.02]","[32.24, -1.89, 0.14]",2.289,"[-0.52, -0.854]","[1.27, 0.714, 0.992, 1.044, 1.392, 0.348, 0.32, 2.016]","[-1.9299999999999997, -36.06]",0
"[34.12, -0.74, 0.02]","[32.24, -1.89, 0.14]",2.204,"[-0.52, -0.854]","[1.432, 0.701, 0.786, 1.091, 1.478, 0.321, 0.401, 1.923]","[-1.8799999999999955, -36.01]",0
