car_pos,target_pos,car_target_distance,car_quaternion,lidar_data,relative_coordinates,action
"[34.08, -0.83, 0.02]","[32.24, -1.89, 0.14]",2.123,"[-0.519, -0.855]","[1.434, 0.729, 0.7, 1.139, 1.565, 0.342, 0.586, 1.849]","[-1.8399999999999963, -35.97]",0
"[34.04, -0.91, 0.02]","[32.24, -1.89, 0.14]",2.049,"[-0.519, -0.855]","[1.345, 0.778, 0.708, 1.183, 0.84, 0.383, 0.759, 1.767]","[-1.7999999999999972, -35.93]",0
"[33.99, -1.0, 0.02]","[32.24, -1.89, 0.14]",1.963,"[-0.519, -0.855]","[1.257, 0.938, 0.731, 1.231, 0.674, 0.44, 2.306, 1.685]","[-1.75, -35.88]",0
"[33.94, -1.09, 0.02]","[32.24, -1.89, 0.14]",1.879,"[-0.519, -0.855]","[1.161, 0.896, 0.768, 1.282, 0.511, 0.514, 2.303, 1.605]","[-1.6999999999999957, -35.83]",2
"[33.92, -1.15, 0.02]","[32.24, -1.89, 0.14]",1.836,"[-0.477, -0.879]","[1.107, 0.873, 0.795, 1.278, 0.643, 0.556, 2.302, 1.555]","[-1.6799999999999997, -35.81]",2
"[33.92, -1.16, 0.02]","[32.24, -1.89, 0.14]",1.832,"[-0.339, -0.941]","[1.172, 0.962, 0.813, 0.807, 1.656, 0.55, 0.72, 1.549]","[-1.6799999999999997, -35.81]",2
"[33.92, -1.17, 0.02]","[32.24, -1.89, 0.14]",1.828,"[-0.208, -0.978]","[1.567, 1.116, 0.893, 0.817, 1.397, 0.543, 0.588, 1.543]","[-1.6799999999999997, -35.81]",0
"[33.86, -1.19, 0.02]","[32.24, -1.89, 0.14]",1.765,"[-0.164, -0.987]","[1.476, 1.102, 0.922, 0.876, 1.409, 0.551, 0.582, 2.331]","[-1.6199999999999974, -35.75]",0
"[33.77, -1.23, 0.02]","[32.24, -1.89, 0.14]",1.666,"[-0.163, -0.987]","[1.38, 1.079, 0.97, 0.971, 1.508, 0.58, 0.615, 2.396]","[-1.5300000000000011, -35.660000000000004]",0
"[33.68, -1.26, 0.02]","[32.24, -1.89, 0.14]",1.572,"[-0.163, -0.987]","[1.283, 1.044, 1.027, 1.064, 1.606, 0.612, 0.649, 2.372]","[-1.4399999999999977, -35.57]",0
"[33.59, -1.29, 0.02]","[32.24, -1.89, 0.14]",1.477,"[-0.163, -0.987]","[1.187, 1.005, 1.066, 1.152, 1.698, 0.642, 0.68, 2.294]","[-1.3500000000000014, -35.480000000000004]",1
"[33.53, -1.3, 0.02]","[32.24, -1.89, 0.14]",1.419,"[-0.223, -0.975]","[1.159, 0.983, 1.116, 1.205, 1.846, 0.665, 2.022, 1.13]","[-1.2899999999999991, -35.42]",0
"[33.47, -1.34, 0.02]","[32.24, -1.89, 0.14]",1.347,"[-0.264, -0.964]","[3.406, 0.941, 1.151, 1.265, 0.737, 0.705, 1.988, 1.056]","[-1.2299999999999969, -35.36]",2
"[33.43, -1.36, 0.02]","[32.24, -1.89, 0.14]",1.303,"[-0.208, -0.978]","[1.03, 0.924, 1.042, 1.307, 0.795, 0.726, 1.971, 1.013]","[-1.1899999999999977, -35.32]",0
"[33.37, -1.39, 0.02]","[32.24, -1.89, 0.14]",1.236,"[-0.166, -0.986]","[0.949, 0.915, 1.054, 1.228, 0.852, 0.744, 1.935, 2.116]","[-1.1299999999999955, -35.26]",0
"[33.28, -1.42, 0.02]","[32.24, -1.89, 0.14]",1.141,"[-0.166, -0.986]","[0.853, 0.904, 1.073, 1.302, 0.886, 0.775, 1.893, 2.052]","[-1.0399999999999991, -35.17]",1
"[33.23, -1.44, 0.02]","[32.24, -1.89, 0.14]",1.087,"[-0.203, -0.979]","[0.811, 0.892, 1.082, 1.334, 0.877, 0.802, 1.874, 0.803]","[-0.9899999999999949, -35.12]",0
"[33.17, -1.47, 0.02]","[32.24, -1.89, 0.14]",1.02,"[-0.239, -0.971]","[0.775, 0.879, 1.094, 1.383, 0.887, 0.842, 1.858, 0.734]","[-0.9299999999999997, -35.06]",0
"[33.09, -1.51, 0.02]","[32.24, -1.89, 0.14]",0.931,"[-0.238, -0.971]","[0.682, 0.874, 0.88, 1.45, 0.933, 0.902, 1.819, 0.641]","[-0.8500000000000014, -34.980000000000004]",0
