car_pos,target_pos,car_target_distance,car_quaternion,lidar_data,relative_coordinates,action
"[34.91, -0.19, 0.09]","[32.24, -1.89, 0.14]",3.165,"[0.0, -1.0]","[2.004, 0.924, 0.463, 0.289, 0.289, 0.444, 1.39, 1.975]","[-2.6699999999999946, -36.8]",0
"[34.84, -0.19, 0.02]","[32.24, -1.89, 0.14]",3.106,"[0.0, -1.0]","[1.937, 1.638, 0.56, 0.355, 0.355, 0.536, 1.095, 1.244]","[-2.6000000000000014, -36.730000000000004]",0
"[34.74, -0.19, 0.02]","[32.24, -1.89, 0.14]",3.023,"[0.0, -1.0]","[1.842, 1.638, 0.703, 0.454, 0.454, 0.674, 1.039, 1.243]","[-2.5, -36.63]",0
"[34.64, -0.19, 0.02]","[32.24, -1.89, 0.14]",2.941,"[0.001, -1.0]","[1.733, 1.639, 0.859, 0.561, 0.561, 0.823, 0.993, 1.241]","[-2.3999999999999986, -36.53]",1
"[34.6, -0.19, 0.02]","[32.24, -1.89, 0.14]",2.909,"[-0.055, -0.999]","[1.693, 1.634, 0.819, 0.603, 0.607, 1.009, 0.973, 1.42]","[-2.3599999999999994, -36.49]",1
"[34.6, -0.18, 0.02]","[32.24, -1.89, 0.14]",2.914,"[-0.195, -0.981]","[1.861, 0.939, 0.655, 0.59, 0.644, 1.224, 0.984, 1.702]","[-2.3599999999999994, -36.49]",1
"[34.61, -0.17, 0.02]","[32.24, -1.89, 0.14]",2.928,"[-0.319, -0.948]","[2.204, 0.934, 0.584, 0.575, 0.741, 0.996, 1.119, 1.717]","[-2.3699999999999974, -36.5]",0
"[34.57, -0.2, 0.02]","[32.24, -1.89, 0.14]",2.878,"[-0.364, -0.931]","[2.155, 0.902, 0.615, 0.614, 0.864, 1.02, 1.276, 1.674]","[-2.3299999999999983, -36.46]",2
"[34.53, -0.23, 0.02]","[32.24, -1.89, 0.14]",2.828,"[-0.315, -0.949]","[2.118, 0.887, 0.663, 0.652, 0.832, 1.031, 1.195, 1.636]","[-2.289999999999999, -36.42]",0
"[34.48, -0.27, 0.02]","[32.24, -1.89, 0.14]",2.764,"[-0.281, -0.96]","[2.074, 0.873, 0.733, 0.709, 0.855, 1.038, 1.175, 1.578]","[-2.239999999999995, -36.37]",0
"[34.4, -0.32, 0.02]","[32.24, -1.89, 0.14]",2.67,"[-0.281, -0.96]","[2.13, 0.86, 0.818, 0.792, 0.953, 1.071, 1.238, 1.493]","[-2.1599999999999966, -36.29]",0
"[34.32, -0.37, 0.02]","[32.24, -1.89, 0.14]",2.576,"[-0.281, -0.96]","[2.05, 0.889, 0.861, 0.87, 1.045, 1.103, 1.295, 1.415]","[-2.0799999999999983, -36.21]",0
"[34.24, -0.42, 0.02]","[32.24, -1.89, 0.14]",2.482,"[-0.28, -0.96]","[1.979, 1.039, 0.859, 0.947, 1.135, 1.142, 1.354, 1.339]","[-2.0, -36.13]",0
"[34.15, -0.48, 0.02]","[32.24, -1.89, 0.14]",2.374,"[-0.28, -0.96]","[1.903, 1.377, 0.875, 1.036, 1.24, 1.193, 1.421, 1.252]","[-1.9099999999999966, -36.04]",0
"[34.07, -0.54, 0.02]","[32.24, -1.89, 0.14]",2.274,"[-0.28, -0.96]","[1.824, 1.355, 0.903, 1.12, 1.339, 1.246, 1.483, 1.17]","[-1.8299999999999983, -35.96]",0
"[33.98, -0.59, 0.02]","[32.24, -1.89, 0.14]",2.172,"[-0.28, -0.96]","[1.75, 1.342, 0.934, 1.203, 1.438, 1.299, 1.546, 1.088]","[-1.7399999999999949, -35.87]",0
