car_pos,target_pos,car_target_distance,car_quaternion,lidar_data,relative_coordinates,action
"[33.91, -0.64, 0.02]","[32.24, -1.89, 0.14]",2.086,"[-0.28, -0.96]","[1.786, 1.333, 0.979, 1.282, 1.53, 1.349, 1.038, 1.011]","[-1.6699999999999946, -35.8]",0
"[33.83, -0.69, 0.02]","[32.24, -1.89, 0.14]",1.992,"[-0.28, -0.96]","[1.704, 1.359, 1.025, 1.36, 1.621, 1.398, 0.961, 0.935]","[-1.5899999999999963, -35.72]",0
"[33.74, -0.74, 0.02]","[32.24, -1.89, 0.14]",1.89,"[-0.28, -0.96]","[1.604, 1.519, 1.075, 1.443, 1.719, 1.451, 0.877, 0.854]","[-1.5, -35.63]",0
"[33.67, -0.79, 0.02]","[32.24, -1.89, 0.14]",1.804,"[-0.279, -0.96]","[1.504, 1.492, 1.132, 1.521, 1.552, 1.502, 0.799, 0.777]","[-1.4299999999999997, -35.56]",1
"[33.63, -0.81, 0.02]","[32.24, -1.89, 0.14]",1.76,"[-0.329, -0.944]","[1.484, 1.462, 1.152, 1.553, 1.545, 1.528, 0.752, 0.746]","[-1.3900000000000006, -35.52]",0
"[33.58, -0.85, 0.02]","[32.24, -1.89, 0.14]",1.696,"[-0.387, -0.922]","[1.41, 1.332, 1.18, 1.593, 1.578, 1.578, 0.708, 0.708]","[-1.3399999999999963, -35.47]",2
"[33.56, -0.89, 0.02]","[32.24, -1.89, 0.14]",1.656,"[-0.33, -0.944]","[1.393, 1.383, 1.204, 1.627, 1.624, 1.607, 0.68, 0.675]","[-1.3200000000000003, -35.45]",0
"[33.51, -0.93, 0.02]","[32.24, -1.89, 0.14]",1.592,"[-0.294, -0.956]","[1.299, 1.348, 1.255, 1.25, 1.682, 1.64, 0.636, 0.623]","[-1.269999999999996, -35.4]",0
"[33.43, -0.98, 0.02]","[32.24, -1.89, 0.14]",1.498,"[-0.294, -0.956]","[1.203, 1.296, 1.333, 1.315, 1.736, 1.693, 0.56, 0.548]","[-1.1899999999999977, -35.32]",0
"[33.35, -1.04, 0.02]","[32.24, -1.89, 0.14]",1.398,"[-0.294, -0.956]","[1.101, 1.253, 1.41, 1.392, 1.792, 1.748, 0.478, 0.468]","[-1.1099999999999994, -35.24]",1
"[33.31, -1.06, 0.02]","[32.24, -1.89, 0.14]",1.354,"[-0.356, -0.934]","[1.141, 1.225, 1.418, 1.592, 1.787, 0.709, 0.44, 0.439]","[-1.0700000000000003, -35.2]",1
"[33.31, -1.05, 0.02]","[32.24, -1.89, 0.14]",1.36,"[-0.473, -0.881]","[1.222, 1.343, 1.404, 1.891, 1.779, 0.564, 0.454, 1.07]","[-1.0700000000000003, -35.2]",0
"[33.29, -1.1, 0.02]","[32.24, -1.89, 0.14]",1.314,"[-0.51, -0.86]","[1.177, 1.304, 1.423, 1.956, 1.83, 0.506, 0.433, 1.027]","[-1.0499999999999972, -35.18]",0
"[33.24, -1.19, 0.02]","[32.24, -1.89, 0.14]",1.221,"[-0.511, -0.86]","[1.096, 1.247, 1.397, 2.009, 1.923, 0.452, 0.399, 0.929]","[-1.0, -35.13]",0
"[33.19, -1.28, 0.02]","[32.24, -1.89, 0.14]",1.129,"[-0.51, -0.86]","[1.763, 1.017, 1.404, 2.061, 2.015, 0.398, 0.385, 0.838]","[-0.9499999999999957, -35.08]",0
"[33.14, -1.37, 0.02]","[32.24, -1.89, 0.14]",1.039,"[-0.511, -0.86]","[1.685, 0.948, 1.411, 2.11, 2.102, 0.397, 1.938, 0.756]","[-0.8999999999999986, -35.03]",0
"[33.09, -1.45, 0.02]","[32.24, -1.89, 0.14]",0.957,"[-0.51, -0.86]","[1.617, 0.891, 1.426, 2.156, 2.183, 0.421, 1.939, 0.685]","[-0.8500000000000014, -34.980000000000004]",0
